text,urgency_prediction,urgency_confidence,hazard_prediction,hazard_confidence,extracted_entities,reason_flagged,resolution
wildfire reported near panipat residents need immediate evacuation,CRITICAL,0.3325,Wildfire,0.9896,"{""location"": [""panipat""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near bhopal 12 people need assistance,CRITICAL,0.4447,Heavy Rainfall,0.9962,"{""location"": [""bhopal""], ""resource_needed"": [], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around jaipur please send water tankers,CRITICAL,0.3007,Drought,0.9927,"{""location"": [""jaipur""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families around raigad are requesting emergency shelter,LOW,0.2812,Cyclone,0.9661,"{""location"": [""raigad""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near faridabad need rescue assistance due to severe weather,MEDIUM,0.3131,Cyclone,0.9858,"{""location"": [""faridabad""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near jorhat 4 people need emergency assistance,CRITICAL,0.4864,Earthquake,0.9926,"{""location"": [""jorhat""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads near panipat are blocked because of heavy rain,CRITICAL,0.4387,Heavy Rainfall,0.9925,"{""location"": [""panipat""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near mandi 0 people need assistance,LOW,0.3302,Heavy Rainfall,0.9944,"{""location"": [""mandi""], ""resource_needed"": [], ""headcount"": 0}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families near south 24 parganas are requesting emergency water support,HIGH,0.5177,Drought,0.9417,"{""location"": [""south 24 parganas""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near dhemaji need rescue assistance due to severe weather,MEDIUM,0.2806,Cyclone,0.9935,"{""location"": [""dhemaji""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near bokaro need rescue assistance due to severe weather,CRITICAL,0.3055,Cyclone,0.9896,"{""location"": [""bokaro""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
fire is spreading around jalpaiguri please send fire rescue teams,LOW,0.3637,Wildfire,0.9891,"{""location"": [""jalpaiguri""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads are completely flooded around kakinada emergency assistance is needed,MEDIUM,0.2931,Flood,0.5826,"{""location"": [""kakinada""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
families around vijayawada are requesting emergency shelter,CRITICAL,0.4061,Cyclone,0.9657,"{""location"": [""vijayawada""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near rishikesh 7 people need immediate rescue,MEDIUM,0.3499,Flood,0.6853,"{""location"": [""rishikesh""], ""resource_needed"": [], ""headcount"": 7}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people are stranded near kanpur we need a rescue boat immediately,MEDIUM,0.3146,Flood,0.6623,"{""location"": [""kanpur""], ""resource_needed"": [""rescue boat""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around ratnagiri please send a rescue team for 5 people,MEDIUM,0.3834,Flood,0.6966,"{""location"": [""ratnagiri""], ""resource_needed"": [""rescue team""], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families near ayodhya are requesting emergency water support,LOW,0.5101,Drought,0.9872,"{""location"": [""ayodhya""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near kolhapur,CRITICAL,0.2672,Wildfire,0.9921,"{""location"": [""kolhapur""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near gorakhpur 8 people need evacuation support,LOW,0.4538,Cyclone,0.994,"{""location"": [""gorakhpur""], ""resource_needed"": [""evacuation""], ""headcount"": 8}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near rishikesh 8 people need medical assistance,MEDIUM,0.4072,Lightning,0.9935,"{""location"": [""rishikesh""], ""resource_needed"": [], ""headcount"": 8}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near faridabad,MEDIUM,0.3112,Wildfire,0.9899,"{""location"": [""faridabad""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around prayagraj please send water tankers,MEDIUM,0.3274,Drought,0.9946,"{""location"": [""prayagraj""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near ayodhya 12 people need assistance,CRITICAL,0.4043,Heavy Rainfall,0.9974,"{""location"": [""ayodhya""], ""resource_needed"": [], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near patiala please send rescue teams,CRITICAL,0.38,Earthquake,0.9843,"{""location"": [""patiala""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families around raipur are requesting emergency shelter,CRITICAL,0.4041,Cyclone,0.966,"{""location"": [""raipur""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near puri 0 people need medical assistance,HIGH,0.2968,Lightning,0.9942,"{""location"": [""puri""], ""resource_needed"": [], ""headcount"": 0}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads are completely flooded around idukki emergency assistance is needed,CRITICAL,0.3225,Flood,0.5931,"{""location"": [""idukki""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
wildfire reported near mandi residents need immediate evacuation,LOW,0.3167,Wildfire,0.9896,"{""location"": [""mandi""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around kannur please send a rescue team for 5 people,MEDIUM,0.4702,Flood,0.6883,"{""location"": [""kannur""], ""resource_needed"": [""rescue team""], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near howrah 2 people need medical assistance,MEDIUM,0.337,Lightning,0.9934,"{""location"": [""howrah""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near nalgonda,HIGH,0.2727,Wildfire,0.9907,"{""location"": [""nalgonda""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near kozhikode need emergency assistance,CRITICAL,0.3379,Landslide,0.9973,"{""location"": [""kozhikode""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around idukki residents need immediate evacuation,CRITICAL,0.3197,Tsunami,0.9972,"{""location"": [""idukki""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe flooding reported near udupi families are requesting evacuation support,CRITICAL,0.5276,Flood,0.5235,"{""location"": [""udupi""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
road blocked by landslide near mysuru rescue teams are urgently needed,LOW,0.3103,Landslide,0.9978,"{""location"": [""mysuru""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe flooding reported near ajmer families are requesting evacuation support,CRITICAL,0.391,Flood,0.5076,"{""location"": [""ajmer""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
urgent people near gurugram are requesting emergency shelter,CRITICAL,0.3799,Tsunami,0.987,"{""location"": [""gurugram""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around puri please send water tankers,CRITICAL,0.3753,Drought,0.9932,"{""location"": [""puri""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near rajkot please send rescue teams,CRITICAL,0.4012,Earthquake,0.9871,"{""location"": [""rajkot""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near patiala 2 people need evacuation support,CRITICAL,0.4898,Cyclone,0.9932,"{""location"": [""patiala""], ""resource_needed"": [""evacuation""], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
buildings are damaged around guntur rescue teams are needed immediately,LOW,0.4035,Earthquake,0.9892,"{""location"": [""guntur""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads are completely flooded around belagavi emergency assistance is needed,CRITICAL,0.3605,Flood,0.5833,"{""location"": [""belagavi""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near ranchi 2 people need emergency assistance,CRITICAL,0.295,Earthquake,0.9922,"{""location"": [""ranchi""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water is accumulating around raigad emergency rescue support is required,LOW,0.3104,Heavy Rainfall,0.9903,"{""location"": [""raigad""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe flooding reported near varanasi families are requesting evacuation support,CRITICAL,0.4097,Flood,0.5189,"{""location"": [""varanasi""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around rajkot residents need drinking water,HIGH,0.3114,Drought,0.9927,"{""location"": [""rajkot""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
fire is spreading around jagatsinghpur please send fire rescue teams,MEDIUM,0.3487,Wildfire,0.9897,"{""location"": [""jagatsinghpur""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families around khammam are requesting emergency shelter,MEDIUM,0.3328,Cyclone,0.9679,"{""location"": [""khammam""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around chamba please send a rescue team for 3 people,MEDIUM,0.369,Flood,0.6909,"{""location"": [""chamba""], ""resource_needed"": [""rescue team""], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near ajmer 2 people need emergency assistance,MEDIUM,0.3559,Earthquake,0.9919,"{""location"": [""ajmer""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people are stranded near dehradun we need a rescue boat immediately,MEDIUM,0.2847,Flood,0.6498,"{""location"": [""dehradun""], ""resource_needed"": [""rescue boat""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near rajkot 3 people need assistance,CRITICAL,0.3462,Heavy Rainfall,0.9924,"{""location"": [""rajkot""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
emergency situation reported around mysuru please send an ambulance,CRITICAL,0.3025,Lightning,0.9899,"{""location"": [""mysuru""], ""resource_needed"": [""ambulance""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
wildfire reported near ratnagiri residents need immediate evacuation,LOW,0.3229,Wildfire,0.9884,"{""location"": [""ratnagiri""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
buildings are damaged around dhemaji rescue teams are needed immediately,LOW,0.3314,Earthquake,0.9962,"{""location"": [""dhemaji""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near muzaffarpur 5 people need emergency assistance,MEDIUM,0.3675,Earthquake,0.9933,"{""location"": [""muzaffarpur""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near faridabad 5 people need evacuation support,LOW,0.3936,Cyclone,0.9929,"{""location"": [""faridabad""], ""resource_needed"": [""evacuation""], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near darbhanga 1 people need immediate rescue,MEDIUM,0.326,Flood,0.7043,"{""location"": [""darbhanga""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families around guwahati are requesting emergency shelter,CRITICAL,0.3288,Cyclone,0.9697,"{""location"": [""guwahati""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near kolkata 1 people may be trapped,LOW,0.3944,Landslide,0.9939,"{""location"": [""kolkata""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
wildfire reported near nagpur residents need immediate evacuation,HIGH,0.2659,Wildfire,0.9905,"{""location"": [""nagpur""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
fire is spreading around kolhapur please send fire rescue teams,CRITICAL,0.3216,Wildfire,0.9909,"{""location"": [""kolhapur""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people near bathinda need rescue assistance due to severe weather,CRITICAL,0.3681,Cyclone,0.9896,"{""location"": [""bathinda""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
emergency situation reported around kanyakumari please send an ambulance,CRITICAL,0.3964,Lightning,0.9967,"{""location"": [""kanyakumari""], ""resource_needed"": [""ambulance""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water is accumulating around deoghar emergency rescue support is required,HIGH,0.3172,Heavy Rainfall,0.9934,"{""location"": [""deoghar""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water is accumulating around kullu emergency rescue support is required,HIGH,0.2622,Heavy Rainfall,0.9937,"{""location"": [""kullu""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near nizamabad 5 people need medical assistance,MEDIUM,0.4101,Lightning,0.9925,"{""location"": [""nizamabad""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near tiruchirappalli 4 people need immediate rescue,CRITICAL,0.3588,Flood,0.7163,"{""location"": [""tiruchirappalli""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around jalpaiguri residents need drinking water,LOW,0.2903,Drought,0.9916,"{""location"": [""jalpaiguri""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads near ajmer are blocked because of heavy rain,CRITICAL,0.425,Heavy Rainfall,0.9927,"{""location"": [""ajmer""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
emergency situation reported around thrissur please send an ambulance,CRITICAL,0.3634,Lightning,0.9906,"{""location"": [""thrissur""], ""resource_needed"": [""ambulance""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near guntur,CRITICAL,0.341,Wildfire,0.9907,"{""location"": [""guntur""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
fire is spreading around kottayam please send fire rescue teams,CRITICAL,0.3849,Wildfire,0.9925,"{""location"": [""kottayam""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around chennai please send water tankers,CRITICAL,0.3454,Drought,0.9961,"{""location"": [""chennai""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near patna need emergency assistance,CRITICAL,0.3283,Landslide,0.9936,"{""location"": [""patna""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near wayanad 3 people need medical assistance,LOW,0.3161,Lightning,0.9919,"{""location"": [""wayanad""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near deoghar 15 people need medical assistance,CRITICAL,0.4055,Lightning,0.9968,"{""location"": [""deoghar""], ""resource_needed"": [], ""headcount"": 15}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near tirupati 5 people need evacuation support,MEDIUM,0.3172,Cyclone,0.992,"{""location"": [""tirupati""], ""resource_needed"": [""evacuation""], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads near south 24 parganas are blocked because of heavy rain,HIGH,0.42,Heavy Rainfall,0.9774,"{""location"": [""south 24 parganas""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near haridwar 1 people need medical assistance,HIGH,0.3531,Lightning,0.993,"{""location"": [""haridwar""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
cyclone conditions are worsening near muzaffarpur please arrange evacuation immediately,CRITICAL,0.3128,Cyclone,0.9921,"{""location"": [""muzaffarpur""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe water shortage reported around villupuram residents need drinking water,HIGH,0.3084,Drought,0.9916,"{""location"": [""villupuram""], ""resource_needed"": [""drinking water""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
severe flooding reported near ambala families are requesting evacuation support,CRITICAL,0.4945,Flood,0.5074,"{""location"": [""ambala""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE; LOW_HAZARD_CONFIDENCE,PENDING_REVIEW
lightning incident reported near guwahati 1 people need medical assistance,HIGH,0.4672,Lightning,0.9951,"{""location"": [""guwahati""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near ludhiana need emergency assistance,CRITICAL,0.3549,Landslide,0.9796,"{""location"": [""ludhiana""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near gorakhpur 4 people need emergency assistance,LOW,0.4601,Earthquake,0.9915,"{""location"": [""gorakhpur""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
wildfire reported near bhavnagar residents need immediate evacuation,CRITICAL,0.3145,Wildfire,0.9961,"{""location"": [""bhavnagar""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
road blocked by landslide near varanasi rescue teams are urgently needed,LOW,0.3463,Landslide,0.9977,"{""location"": [""varanasi""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near ujjain 4 people may be trapped,LOW,0.5148,Landslide,0.9917,"{""location"": [""ujjain""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near durg 4 people need medical assistance,MEDIUM,0.2675,Lightning,0.998,"{""location"": [""durg""], ""resource_needed"": [], ""headcount"": 4}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around gwalior residents need immediate evacuation,CRITICAL,0.3017,Tsunami,0.9922,"{""location"": [""gwalior""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near howrah 5 people need medical assistance,MEDIUM,0.337,Lightning,0.9934,"{""location"": [""howrah""], ""resource_needed"": [], ""headcount"": 5}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near ambala 1 people need assistance,LOW,0.3299,Heavy Rainfall,0.9933,"{""location"": [""ambala""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near dhanbad 1 people need emergency assistance,MEDIUM,0.3593,Earthquake,0.9918,"{""location"": [""dhanbad""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water availability is very low around tirupati please send water tankers,MEDIUM,0.2796,Drought,0.9938,"{""location"": [""tirupati""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
buildings are damaged around kangra rescue teams are needed immediately,HIGH,0.2746,Earthquake,0.9902,"{""location"": [""kangra""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families near guwahati are requesting emergency water support,MEDIUM,0.3626,Drought,0.9889,"{""location"": [""guwahati""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around raigad please send a rescue team for 2 people,LOW,0.3699,Flood,0.712,"{""location"": [""raigad""], ""resource_needed"": [""rescue team""], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near visakhapatnam 10 people need assistance,CRITICAL,0.588,Heavy Rainfall,0.9897,"{""location"": [""visakhapatnam""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
people are stranded near tiruchirappalli we need a rescue boat immediately,MEDIUM,0.2989,Flood,0.6433,"{""location"": [""tiruchirappalli""], ""resource_needed"": [""rescue boat""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent smoke and fire reported near kangra,HIGH,0.294,Wildfire,0.9916,"{""location"": [""kangra""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families around nagapattinam are requesting emergency shelter,CRITICAL,0.3267,Cyclone,0.9727,"{""location"": [""nagapattinam""], ""resource_needed"": [""emergency shelter""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
water has entered houses around tirupati please send a rescue team for 1 people,MEDIUM,0.318,Flood,0.7104,"{""location"": [""tirupati""], ""resource_needed"": [""rescue team""], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
landslide reported near nalgonda 2 people may be trapped,HIGH,0.2815,Landslide,0.9902,"{""location"": [""nalgonda""], ""resource_needed"": [], ""headcount"": 2}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near vijayawada 10 people need emergency assistance,CRITICAL,0.4701,Earthquake,0.9966,"{""location"": [""vijayawada""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads near alappuzha are blocked because of heavy rain,CRITICAL,0.4018,Heavy Rainfall,0.9931,"{""location"": [""alappuzha""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent families near villupuram need emergency assistance,CRITICAL,0.3342,Landslide,0.9954,"{""location"": [""villupuram""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near kannur 3 people need medical assistance,MEDIUM,0.4935,Lightning,0.9896,"{""location"": [""kannur""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
families near nashik are requesting emergency water support,CRITICAL,0.3488,Drought,0.989,"{""location"": [""nashik""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near howrah please send rescue teams,CRITICAL,0.3001,Earthquake,0.9866,"{""location"": [""howrah""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
heavy rainfall has caused flooding near udupi 3 people need assistance,MEDIUM,0.3499,Heavy Rainfall,0.9951,"{""location"": [""udupi""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near bengaluru 1 people need medical assistance,CRITICAL,0.3127,Lightning,0.993,"{""location"": [""bengaluru""], ""resource_needed"": [], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
emergency situation reported around chamba please send an ambulance,CRITICAL,0.331,Lightning,0.9851,"{""location"": [""chamba""], ""resource_needed"": [""ambulance""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent strong cyclone winds reported near dhemaji 1 people need evacuation support,MEDIUM,0.3758,Cyclone,0.9936,"{""location"": [""dhemaji""], ""resource_needed"": [""evacuation""], ""headcount"": 1}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent flood water is rising near vadodara 10 people need immediate rescue,CRITICAL,0.376,Flood,0.6988,"{""location"": [""vadodara""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
lightning incident reported near ranchi 12 people need medical assistance,HIGH,0.5758,Lightning,0.9977,"{""location"": [""ranchi""], ""resource_needed"": [], ""headcount"": 12}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
urgent people may be trapped near hyderabad please send rescue teams,CRITICAL,0.4493,Earthquake,0.9885,"{""location"": [""hyderabad""], ""resource_needed"": [""rescue team""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near gwalior 10 people need emergency assistance,CRITICAL,0.4712,Earthquake,0.9966,"{""location"": [""gwalior""], ""resource_needed"": [], ""headcount"": 10}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
roads near belagavi are blocked because of heavy rain,CRITICAL,0.5372,Heavy Rainfall,0.9946,"{""location"": [""belagavi""], ""resource_needed"": [], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
earthquake felt strongly near nagapattinam 3 people need emergency assistance,MEDIUM,0.3342,Earthquake,0.997,"{""location"": [""nagapattinam""], ""resource_needed"": [], ""headcount"": 3}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
tsunami warning near coastal areas around haridwar residents need immediate evacuation,CRITICAL,0.3121,Tsunami,0.9922,"{""location"": [""haridwar""], ""resource_needed"": [""evacuation""], ""headcount"": null}",LOW_URGENCY_CONFIDENCE,PENDING_REVIEW
